sample_index,token_id_uint64,mask_id,PSEUDOMONAS_occurrences,MYCOPLASMA_occurrences,METHANOCALDOCOCCUS_occurrences,HALOFERAX_occurrences,NEUROSPORA_occurrences,CELEGANS_occurrences
609,19461358667,72,0,0,0,0,0,1
610,19542335487,72,0,0,1,0,2,4
611,19583213615,72,0,0,0,0,0,9
612,19592557567,72,0,0,0,0,0,10
613,19597688819,73,0,1,1,0,0,14
614,19608929283,73,0,0,0,0,1,2
615,19615467980,73,0,0,0,0,0,0
616,19797172835,73,0,0,0,0,0,0
617,19798965600,73,0,0,0,0,0,1
618,19854905341,73,0,0,1,0,0,3
619,19864301584,74,0,0,0,0,1,23
620,19906035507,74,0,0,0,0,0,5
621,19998428851,74,0,0,0,0,0,2
622,20065601532,74,0,0,1,0,0,66
623,20066296832,74,0,0,0,0,0,23
624,20102259455,74,0,0,0,0,0,1
625,20127882748,74,0,0,1,0,0,2
626,20129197373,74,0,0,0,0,0,0
627,20132888625,75,0,0,0,0,0,3
628,20134792577,75,0,0,0,0,1,4
629,20166938656,75,0,0,0,0,1,5
630,20231175553,75,0,0,0,0,0,1
631,20233265147,75,0,0,0,0,1,16
632,20262646273,75,0,0,0,0,0,1
